"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Velocity[i] (m/s)"
null,null,0.49206702,10.20259153900724
null,null,0.50793298,8.835589193819036
null,null,0.52379096,7.6315460640831505
null,null,0.53962498,6.084402766152829
null,null,0.5554191,5.649805229860779
null,null,0.57115742,3.02201741058382
null,null,0.58682409,6.2386644533739215
null,null,0.60240333,-3.2062887672060514
null,null,0.61787947,7.143499534046851
null,null,0.63323691,8.41193219584359
null,null,0.64846019,3.0120325534923302
null,null,0.66353398,3.661447804137098
null,null,0.67844311,-1.5771272049454057
null,null,0.69317256,10.93760833978681
null,null,0.70770751,3.1028371186006516
null,null,0.72203331,-0.6948530150436498
null,null,0.73613554,2.8415088052526762
null,null,0.75,4.687272147731937
null,null,0.76361273,-3.7249051166521894
null,null,0.77696003,-10.54362280612854
null,null,0.79002845,6.367325656000528
null,null,0.80280484,4.248866801821079
null,null,0.81527633,-8.673424161508585
null,null,0.82743037,-19.80277002050503
null,null,0.83925471,-9.028291163869545
null,null,0.85073744,-8.764304168479361
null,null,0.86186702,-12.577455515333769
null,null,0.87263222,-2.4329678708163525
null,null,0.88302222,7.381945116986099
null,null,0.89302655,45.039635397804396
null,null,0.90263513,35.06009737879728
null,null,0.91183829,-27.867113961634228
null,null,0.92062677,-51.5301336995193
null,null,0.92899171,-42.50875992002992
null,null,0.93692469,-28.272930326584408
null,null,0.94441772,-14.754863414241257
null,null,0.95146327,-16.479297090794105
null,null,0.95805423,-8.650737327724288
null,null,0.96418397,6.001809675781695
null,null,0.96984631,6.001809675781695
null,null,0.97503556,26.365938330334302
null,null,0.97974649,26.365938330334302
null,null,0.98397435,54.69693212999956
null,null,0.98771489,2.7419456846179697
null,null,0.99096435,2.7419456846179697
null,null,0.99371944,2.7419456846179697
null,null,0.99597741,1.4981246843531528
null,null,0.99773596,1.4981246843531528
null,null,0.99899334,1.4981246843531528
null,null,0.99974827,1.4981246843531528
null,null,1.0,10.020027802106098
null,null,0.99974827,10.020027802106098
null,null,0.99899334,10.020027802106098
null,null,0.99773596,10.020027802106098
null,null,0.99597741,10.020027802106098
null,null,0.99371944,0.9631663461790549
null,null,0.99096435,0.9631663461790549
null,null,0.98771489,0.9631663461790549
null,null,0.98397435,0.9631663461790549
null,null,0.97974649,5.751827198707928
null,null,0.97503556,5.751827198707928
null,null,0.96984631,-23.8867649514947
null,null,0.96418397,-23.8867649514947
null,null,0.95805423,-31.577840606941635
null,null,0.95146327,-53.33168738976735
null,null,0.94441772,-7.444885571857997
