"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Velocity[j] (m/s)"
null,null,0.16074529,16.189884459617502
null,null,0.17256963,14.169255114911117
null,null,0.18472367,12.286543024937336
null,null,0.19719516,10.484828711455192
null,null,0.20997155,8.750436544142742
null,null,0.22303997,7.1108506302092565
null,null,0.23638727,5.579896715547109
null,null,0.25,4.186290980718664
null,null,0.26386446,3.1009048739701672
null,null,0.27796669,1.6531101884931303
null,null,0.29229249,0.5304318318023791
null,null,0.30682744,-0.5375482044026402
null,null,0.32155689,-1.5359839517082836
null,null,0.33646602,-2.4817098287725403
null,null,0.35153981,-3.327741371618561
null,null,0.36676309,-4.092325894171064
null,null,0.38212053,-4.8258446814347735
null,null,0.39759667,-5.511383705209923
null,null,0.41317591,-6.153142130020251
null,null,0.42884258,-6.751379535118573
null,null,0.4445809,-7.301594722516884
null,null,0.46037502,-7.802574763291282
null,null,0.47620904,-8.251131577678171
