"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Velocity: Magnitude (m/s)"
null,null,0.49206702,10.221592894908117
null,null,0.50793298,8.853837962255314
null,null,0.52379096,7.648704738028593
null,null,0.53962498,6.099277647722386
null,null,0.5554191,5.664492526406945
null,null,0.57115742,3.0309095932233676
null,null,0.58682409,6.256416807235543
null,null,0.60240333,3.2259688761792567
null,null,0.61787947,7.175180252926192
null,null,0.63323691,8.4381733603644
null,null,0.64846019,3.0254208732567314
null,null,0.66353398,3.6714840820918204
null,null,0.67844311,1.5829307597737863
null,null,0.69317256,10.993566036066227
null,null,0.70770751,3.1064414498704336
null,null,0.72203331,0.6966686562860832
null,null,0.73613554,2.8679375997251486
null,null,0.75,4.712421031260744
null,null,0.76361273,3.7601481241707098
null,null,0.77696003,10.605809772191714
null,null,0.79002845,6.418152956960887
null,null,0.80280484,4.259286399268546
null,null,0.81527633,8.756102344416762
null,null,0.82743037,19.925745271051895
null,null,0.83925471,9.087426599439121
null,null,0.85073744,8.830633759366895
null,null,0.86186702,12.672084092672128
null,null,0.87263222,2.4341347949592675
null,null,0.88302222,7.478203203817194
null,null,0.89302655,45.404093727824296
null,null,0.90263513,35.2681027478547
null,null,0.91183829,28.14272917469237
null,null,0.92062677,51.99970062357991
null,null,0.92899171,42.8872858622845
null,null,0.93692469,28.565133952896833
null,null,0.94441772,14.91173406983267
null,null,0.95146327,16.677011417343696
null,null,0.95805423,8.749576960257698
null,null,0.96418397,6.069877816709682
null,null,0.96984631,6.069877816709682
null,null,0.97503556,26.498974378626333
null,null,0.97974649,26.498974378626333
null,null,0.98397435,56.80472165580557
null,null,0.98771489,6.17215113102264
null,null,0.99096435,6.17215113102264
null,null,0.99371944,6.17215113102264
null,null,0.99597741,6.2059931468403695
null,null,0.99773596,6.2059931468403695
null,null,0.99899334,6.2059931468403695
null,null,0.99974827,6.2059931468403695
null,null,1.0,12.544086360583046
null,null,0.99974827,12.544086360583046
null,null,0.99899334,12.544086360583046
null,null,0.99773596,12.544086360583046
null,null,0.99597741,12.544086360583046
null,null,0.99371944,9.404095777404892
null,null,0.99096435,9.404095777404892
null,null,0.98771489,9.404095777404892
null,null,0.98397435,9.404095777404892
null,null,0.97974649,5.753181916303237
null,null,0.97503556,5.753181916303237
null,null,0.96984631,24.30932472769042
null,null,0.96418397,24.30932472769042
null,null,0.95805423,31.855563990126456
null,null,0.95146327,53.80927929241176
null,null,0.94441772,7.609477551490347
null,null,0.93692469,33.9684697008977
null,null,0.92899171,15.888503130078288
null,null,0.92062677,10.84290924231033
null,null,0.91183829,30.676744079401445
null,null,0.90263513,1.2128882478365035
null,null,0.89302655,18.744044022150405
null,null,0.88302222,11.167316363928633
null,null,0.87263222,2.109971244850634
null,null,0.86186702,15.555354763629111
null,null,0.85073744,5.541756871778724
null,null,0.83925471,4.690757015163392
null,null,0.82743037,9.973298500894243
null,null,0.81527633,19.02498199300697
null,null,0.80280484,0.25341075463276436
null,null,0.79002845,10.96790798793488
null,null,0.77696003,2.1844759220567598
null,null,0.76361273,2.460457674402467
null,null,0.75,2.75216990664978
null,null,0.73613554,0.7391699637047595
