"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Velocity[i] (m/s)"
null,null,0.13813298,181.97079605961017
null,null,0.14926256,179.57423209282575
null,null,0.16074529,177.85387268043493
null,null,0.17256963,176.83453177681972
null,null,0.18472367,175.9448705310997
null,null,0.19719516,174.61234214951682
null,null,0.20997155,172.62624331751212
null,null,0.22303997,170.31355665447134
null,null,0.23638727,168.13623485001452
null,null,0.25,166.92039955026996
null,null,0.26386446,165.58956158844228
null,null,0.27796669,163.20049069337742
null,null,0.29229249,162.63097844885624
null,null,0.30682744,161.15754173953707
null,null,0.32155689,159.20997457090223
null,null,0.33646602,157.0148185189126
null,null,0.35153981,154.77694421267867
null,null,0.36676309,152.686799757356
null,null,0.38212053,150.83221742884885
null,null,0.39759667,149.21939421829268
null,null,0.41317591,147.77582833816615
null,null,0.42884258,146.3903678893792
null,null,0.4445809,144.90465909888377
null,null,0.46037502,143.27186376711998
null,null,0.47620904,141.42832361780754
