"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Velocity[j] (m/s)"
null,null,0.49206702,-0.6229664496696091
null,null,0.50793298,-0.5681639375581667
null,null,0.52379096,-0.5120437884771452
null,null,0.53962498,-0.4257121130972459
null,null,0.5554191,-0.4076474535158019
null,null,0.57115742,-0.2319994233219246
null,null,0.58682409,-0.47097463208548035
null,null,0.60240333,0.3557914155310031
null,null,0.61787947,-0.6735176828075072
null,null,0.63323691,-0.6649559324447516
null,null,0.64846019,-0.2843085595616062
null,null,0.66353398,-0.2712846155483898
null,null,0.67844311,0.13542366727831726
null,null,0.69317256,-1.1077987158211164
null,null,0.70770751,-0.1496004575766027
null,null,0.72203331,0.05026434259200073
null,null,0.73613554,-0.38845049309887014
null,null,0.75,-0.4862013872512166
null,null,0.76361273,0.5136105408213957
null,null,0.77696003,1.1468299987371207
null,null,0.79002845,-0.8061335927643933
null,null,0.80280484,-0.2977440702629108
null,null,0.81527633,1.2004339134079045
null,null,0.82743037,2.2103447970473247
null,null,0.83925471,1.0350269854398881
null,null,0.85073744,1.0803078424438088
null,null,0.86186702,1.545745131499412
null,null,0.87263222,-0.07536272027163796
null,null,0.88302222,-1.1959972606100866
null,null,0.89302655,-5.7413387356868935
null,null,0.90263513,-3.824740935342994
null,null,0.91183829,3.929015760896329
null,null,0.92062677,6.972387385365424
null,null,0.92899171,5.685474359678904
null,null,0.93692469,4.0753267961039885
null,null,0.94441772,2.1572710994432978
null,null,0.95146327,2.5603666158495706
null,null,0.95805423,1.31142695953301
null,null,0.96418397,-0.9064752205534978
null,null,0.96984631,-0.9064752205534978
null,null,0.97503556,-2.651968906322854
null,null,0.97974649,-2.651968906322854
null,null,0.98397435,-15.330427846598676
null,null,0.98771489,-5.529663954237088
null,null,0.99096435,-5.529663954237088
null,null,0.99371944,-5.529663954237088
null,null,0.99597741,6.02245575897087
null,null,0.99773596,6.02245575897087
null,null,0.99899334,6.02245575897087
null,null,0.99974827,6.02245575897087
null,null,1.0,7.5467307800653955
null,null,0.99974827,7.5467307800653955
null,null,0.99899334,7.5467307800653955
null,null,0.99773596,7.5467307800653955
null,null,0.99597741,7.5467307800653955
