"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Tke: Residual","Tdr: Residual"
1.0,0.01037556687943148,5.965037606728401E-4,3.846497971058107E-5,0.002166785844508231,4.015254099569565E-4
2.0,0.02776549362427743,0.6832040334413095,1.0,1.0,0.013269332807221186
3.0,1.0,0.16524783909707463,0.24291664739668947,0.03387642984058157,0.3769312927143013
4.0,0.2859331073989255,1.0,0.6579966021694005,0.5783167902979623,0.4304280141370974
5.0,0.19872661234988662,0.5464791770178166,0.2521803059260286,0.02396884979200328,1.0
6.0,0.7108437073509901,0.4100081034914474,0.19922505425826414,0.018125647687780428,0.7833158798468166
7.0,0.21398896561770167,1.5642617189697112,0.30870322388932325,0.036343503295420534,1.4400103895935426
8.0,0.14523156020585615,0.49761947898305425,0.18382801471600202,0.028050259102347434,0.9554604739265837
9.0,0.24137974688639197,0.36729883153453957,0.11649066456698802,0.011798832428865251,0.7548780724986544
10.0,0.10210556483112967,0.4294929793942594,0.19996543254443055,0.031271205719901905,0.7203231920281822
11.0,0.13495650115784774,0.18661579918201213,0.06984517898060588,0.013573192237931407,0.7513071717808796
12.0,0.08100368704707805,0.19376418734119255,0.06350632953276739,0.007040701682400974,0.380940656041988
13.0,0.0998912874860723,0.08789341168156162,0.033387393655828206,0.009622174794328692,0.4813837719275344
14.0,0.04493238515400468,0.1713110029533333,0.035866276211864126,0.012235322673293978,0.5848965911193709
15.0,0.05939697440197668,0.04292888838161556,0.017979585025330667,0.00726322257416075,0.47699879259359335
16.0,0.035245510465622285,0.03338221409987763,0.016903616803909564,0.0053566878013196345,0.3567591766543324
17.0,0.04358093063992909,0.029213303054639306,0.011176335220995122,0.004226544666704136,0.31354288404434094
18.0,0.019949817397943694,0.02987253150992978,0.010624543267489909,0.0047848826090017,0.2736616600333168
19.0,0.033015261426103386,0.022723172269232476,0.008919228999716347,0.005303984015537399,0.25304133294497366
